fips,area_name,avg_house_value,avg_realestate_taxes
1001,"Autauga County, Alabama",146937,444
1003,"Baldwin County, Alabama",202331,723
1005,"Barbour County, Alabama",167224,429
1007,"Bibb County, Alabama",112485,261
1009,"Blount County, Alabama",135644,416
1011,"Bullock County, Alabama",98432,312
1013,"Butler County, Alabama",125476,362
1015,"Calhoun County, Alabama",126769,442
1017,"Chambers County, Alabama",108071,374
1019,"Cherokee County, Alabama",126770,444
1021,"Chilton County, Alabama",120375,390
1023,"Choctaw County, Alabama",95736,228
1025,"Clarke County, Alabama",100825,252
1027,"Clay County, Alabama",113313,304
1029,"Cleburne County, Alabama",139688,402
1031,"Coffee County, Alabama",154980,547
1033,"Colbert County, Alabama",137344,414
1035,"Conecuh County, Alabama",85295,293
1037,"Coosa County, Alabama",101628,238
1039,"Covington County, Alabama",125813,346
1041,"Crenshaw County, Alabama",92548,305
1043,"Cullman County, Alabama",153609,381
1045,"Dale County, Alabama",126188,404
1047,"Dallas County, Alabama",107707,374
1049,"DeKalb County, Alabama",132217,363
1051,"Elmore County, Alabama",163436,432
1053,"Escambia County, Alabama",109632,365
1055,"Etowah County, Alabama",126105,461
1057,"Fayette County, Alabama",121420,253
1059,"Franklin County, Alabama",108643,357
1061,"Geneva County, Alabama",106855,304
1063,"Greene County, Alabama",90465,218
1065,"Hale County, Alabama",114496,308
1067,"Henry County, Alabama",123322,383
1069,"Houston County, Alabama",149841,444
1071,"Jackson County, Alabama",125296,342
1073,"Jefferson County, Alabama",190524,1244
1075,"Lamar County, Alabama",86114,363
1077,"Lauderdale County, Alabama",155338,583
1079,"Lawrence County, Alabama",119593,324
1081,"Lee County, Alabama",177449,845
1083,"Limestone County, Alabama",167703,593
1085,"Lowndes County, Alabama",113730,476
1087,"Macon County, Alabama",94006,389
1089,"Madison County, Alabama",200136,898
1091,"Marengo County, Alabama",117697,350
1093,"Marion County, Alabama",102396,287
1095,"Marshall County, Alabama",147981,502
1097,"Mobile County, Alabama",156659,779
1099,"Monroe County, Alabama",94379,286
1101,"Montgomery County, Alabama",162788,591
1103,"Morgan County, Alabama",143617,493
1105,"Perry County, Alabama",83986,209
1107,"Pickens County, Alabama",108217,283
1109,"Pike County, Alabama",132487,355
1111,"Randolph County, Alabama",135324,354
1113,"Russell County, Alabama",134489,535
1115,"St. Clair County, Alabama",152929,448
1117,"Shelby County, Alabama",229937,1116
1119,"Sumter County, Alabama",116392,267
1121,"Talladega County, Alabama",125146,384
1123,"Tallapoosa County, Alabama",158113,489
1125,"Tuscaloosa County, Alabama",177566,649
1127,"Walker County, Alabama",108176,294
1129,"Washington County, Alabama",103437,315
1131,"Wilcox County, Alabama",94638,277
1133,"Winston County, Alabama",121658,326
2016,"Aleutians West Census Area, Alaska",223487,1334
2020,"Anchorage Municipality, Alaska",302297,3908
2060,"Bristol Bay Borough, Alaska",204944,870
2070,"Dillingham Census Area, Alaska",207245,896
2090,"Fairbanks North Star Borough, Alaska",221624,2640
2100,"Haines Borough, Alaska",222468,1525
2110,"Juneau City and Borough, Alaska",324940,2850
2122,"Kenai Peninsula Borough, Alaska",228134,1503
2130,"Ketchikan Gateway Borough, Alaska",274289,2105
2150,"Kodiak Island Borough, Alaska",244693,2292
2170,"Matanuska-Susitna Borough, Alaska",229850,2540
2180,"Nome Census Area, Alaska",149041,579
2185,"North Slope Borough, Alaska",140132,678
2195,"Petersburg Borough, Alaska",224994,1779
2198,"Prince of Wales-Hyder Census Area, Alaska",192225,245
2220,"Sitka City and Borough, Alaska",341967,1686
2230,"Skagway Municipality, Alaska",323491,1825
2261,"Valdez-Cordova Census Area, Alaska",195929,1313
2275,"Wrangell City and Borough, Alaska",180875,926
2282,"Yakutat City and Borough, Alaska",155106,1074
4001,"Apache County, Arizona",146842,270
4003,"Cochise County, Arizona",160505,1235
4005,"Coconino County, Arizona",246408,1351
4007,"Gila County, Arizona",155988,1149
4009,"Graham County, Arizona",136243,820
4011,"Greenlee County, Arizona",102402,456
4012,"La Paz County, Arizona",116111,640
4013,"Maricopa County, Arizona",236817,1696
4015,"Mohave County, Arizona",157471,1005
